"educ_yrs","age","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
1,23,8,4,0,0,43.98,8,0,0,0,0
10,21,3,3,0,0,118.88,1,1,0,0,0
0,21,8,1,1,1,18.43,9,0,0,0,1
8,17,2,5,0,1,57.42,10,0,0,1,0
6,22,11,3,0,0,77.2,3,1,0,0,0
6,19,9,3,1,1,36.5,10,0,1,0,1
4,45,1,4,1,1,51.06,7,0,1,1,0
11,37,11,3,0,0,462.47,8,1,1,0,1
6,57,9,3,1,1,930.37,2,0,1,1,0
6,26,5,3,0,0,89.75,1,0,1,0,0
2,43,9,1,0,1,223.62,3,0,0,0,0
6,52,10,4,1,0,790.06,3,1,1,0,0
6,24,9,4,1,1,56.38,8,1,1,1,0
13,28,12,5,0,0,267.36,8,0,1,0,0
4,39,4,2,0,1,239.1,11,1,0,1,0
3,21,7,4,1,1,25,5,0,1,0,0
2,20,12,5,0,0,74.97,5,1,0,0,0
6,33,8,5,0,1,160.03,11,0,0,0,0
4,22,1,2,1,1,79.24,11,0,0,0,1
6,35,7,4,1,1,183.09,5,1,0,1,0
0,23,5,2,0,1,25.07,5,0,1,0,1
4,33,9,5,1,1,106.96,1,1,0,0,0
0,26,11,5,0,1,39.45,3,0,0,0,0
2,25,4,1,0,1,30.75,1,0,0,0,0
10,20,11,5,1,1,98.37,4,1,0,0,0
1,20,6,2,1,1,19.78,6,1,0,1,0
8,38,7,5,1,1,273.65,2,1,1,0,0
6,22,9,5,0,1,61.74,5,0,0,0,1
3,25,5,2,0,1,61.71,4,0,0,1,0
0,29,1,2,1,0,47.14,4,0,0,0,0
6,20,8,1,1,0,61.94,3,0,0,1,0
0,35,1,4,0,1,70.63,2,1,1,0,0
5,36,1,5,0,0,193.87,1,0,1,0,1
3,17,7,5,0,1,29.89,9,1,0,1,0
8,23,8,3,1,0,93.78,13,1,1,0,0
1,17,8,1,1,1,12.14,1,0,1,0,0
0,39,7,3,1,1,87.75,3,1,0,0,0
0,20,5,1,1,1,20.41,2,1,0,0,0
2,23,10,5,1,0,39.48,6,1,0,0,0
8,23,2,3,0,1,24.12,9,0,0,0,0
0,22,7,2,1,1,19.71,5,0,0,0,0
4,25,5,2,0,0,63.22,13,0,1,0,0
0,36,8,4,1,1,67.83,7,0,0,0,0
6,23,5,4,1,1,63.09,2,1,0,0,0
1,47,9,1,1,1,205.86,8,1,0,0,0
0,31,12,3,1,1,43.91,1,1,0,0,0
1,31,12,1,0,0,89.54,4,1,0,0,0
3,25,11,3,0,1,43.34,5,1,1,0,0
